npaid,smiles
NPA000671,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@H](CNC(=O)[C@@H]2[C@H]([C@H](CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@H](CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)O)[C@@H](CC4=CC=C(C=C4)O)O)[C@@H](CC(=O)N)O)C)O)O
NPA000672,CCCCC(C)C(C(CC(C)CC(CCCCC(CC(C(C)[N+]1=CC=CC(=C1)O)O)O)O)OC(=O)CC(CC(=O)O)C(=O)O)OC(=O)CC(CC(=O)O)C(=O)O
NPA000686,N=C(N)N1CC=C(CCNC(=O)[C@@H]2C[C@@H]3CC[C@@H](O)C[C@@H]3N2C(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@H](O)CC2=CC=CC=C2)C1
NPA000689,C[C@H]([C@H]1C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@@H](C(=O)N[C@H](C(=O)N[C@@H](C(=O)N[C@H](C=N1)C(C)C)CC2=CC=CC=C2)C(C)C)CC3=CC=CC=C3)CC(C)C)CC(C)C)O
NPA000691,CCCCCCCC(=O)N[C@@H](CCC(=O)O)C(=O)N[C@H]1[C@H](OC(=O)[C@@H](NC(=O)[C@@H](N(C(=O)[C@@H](N2[C@@H](CC[C@@H](C2=O)NC(=O)[C@@H](NC1=O)CC3=CC=C(C=C3)O)O)CC4=CC=CC=C4)C)CC5=CC=C(C=C5)O)C(C)C)C
NPA000694,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CC(C)C)C(C)C)CC(C)C
NPA000704,CC[C@H](C)[C@@H]1C(=O)N[C@@H](C(=O)OC(C(=O)N[C@H](C(=O)N([C@H](C(=O)OC(C(=O)N1)C(C)C)CC(C)C)C)C(C)C)CC(C)C)CC(C)C
NPA000706,CCC(C)CCCCCC[C@@H]1CC(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N1)C(C)C)CCCN
NPA000711,CCCCCCCCC(C)C(=O)N1CCCC1C(=O)NC(CC(C)CC(CC(=O)CC)O)C(=O)NC(C)C(=O)NC(C(C)C)C(=O)NC(C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(C)(C)C(=O)NC(C)(C)C(=O)NC(C)CN(C)CCO
NPA000712,C[C@H]1C(=O)N([C@H](C(=O)N[C@H](C(=O)N([C@H](C(=O)NC2=CC=CC=C2C(=O)N1)CC3=CC=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)C)CC(C)C)CC5=CC=CC=C5)C
NPA000722,CCC1=C(OC(=C(C1=O)C)/C=C/C(C)C/C=C/C(=C/C(C)C(/C(=C/C)/C)O)/C)OC
